date,cash,holdings_value,total_value,NVDA_shares
2023-08-09,15485.16816711426,0.0,15485.16816711426,0.0
2023-08-10,15485.16816711426,0.0,15485.16816711426,0.0
2023-08-11,15485.16816711426,0.0,15485.16816711426,0.0
2023-08-14,15485.16816711426,0.0,15485.16816711426,0.0
2023-08-15,15485.16816711426,0.0,15485.16816711426,0.0
2023-08-16,15485.16816711426,0.0,15485.16816711426,0.0
2023-08-17,15485.16816711426,0.0,15485.16816711426,0.0
2023-08-18,15485.16816711426,0.0,15485.16816711426,0.0
2023-08-21,15485.16816711426,0.0,15485.16816711426,0.0
2023-08-22,15485.16816711426,0.0,15485.16816711426,0.0
2023-08-23,7758.143981933596,7727.024185180664,15485.16816711426,164.0
2023-08-24,7758.143981933596,7734.731704711914,15492.87568664551,164.0
2023-08-25,7758.143981933596,7546.9522552490225,15305.096237182617,164.0
2023-08-28,7758.143981933596,7680.939849853516,15439.083831787111,164.0
